Down_regulated,Gene_Symbol,log2(T/C),P-value (DE)
PH_rn_0000076,Sgsm2,-1.04464,0.000332118
PH_rn_0000143,Casp6,-1.603513,0.000000699
PH_rn_0000170,RGD1310852,-1.03834,0.00000251
PH_rn_0000275,Nprl2,-1.197934,0.003927675
PH_rn_0000278,Tmem164,-1.020173,0.000849764
PH_rn_0000313,Lurap1l,-1.494003,2E-10
PH_rn_0000335,Tmem100,-1.510237,0.000159014
PH_rn_0000398,Fam86a,-1.147036,0.0000956
PH_rn_0000450,Lipogenin,-1.242785,5.04E-08
PH_rn_0000512,Mzf1,-1.03792,0.000840685
PH_rn_0000587,Cklf,-1.004252,0.000114061
PH_rn_0000637,Tacc3,-1.009738,0.0000786
PH_rn_0000670,Pnldc1,-1.035657,0.000292275
PH_rn_0000675,LOC682988,-1.086995,0.00000041
PH_rn_0000750,Nap1l2,-1.372877,0.010397876
PH_rn_0000790,Tmem51,-1.023314,0.00000366
PH_rn_0000826,MGC94207,-1.044265,0.000000551
PH_rn_0000847,Mis18bp1,-1.244165,0.00000122
PH_rn_0000857,RGD1311847,-1.040908,0.003593623
PH_rn_0001017,Ankrd26,-1.16915,0.005554407
PH_rn_0001072,Pxdn,-1.272816,0.00000647
PH_rn_0001136,Armc2,-1.014217,0.0000507
PH_rn_0001187,Mkl1,-1.254628,0.000186381
PH_rn_0001393,Cd207,-1.198229,0.020467049
PH_rn_0001507,Zfp69,-1.37055,0.0000318
PH_rn_0001530,Ninl,-1.125848,0.00035147
PH_rn_0001653,Triobp,-1.151299,9.25E-08
PH_rn_0001717,Ganc,-1.406111,0.000153135
PH_rn_0001737,Parpbp,-1.41492,2.18E-08
PH_rn_0001738,Erbb3,-1.230598,0.0000262
PH_rn_0001929,Tmpo,-1.021771,0.00000122
PH_rn_0001999,Sipa1l2,-1.131575,0.00000729
PH_rn_0002323,Pigb,-1.52605,7.9E-09
PH_rn_0002324,Ppapdc3,-1.09134,0.000026918
PH_rn_0002441,Tnfsf9,-1.620051,3.41E-10
PH_rn_0002455,LOC681367,-1.36689,3.46E-08
PH_rn_0002564,Pip4k2b,-1.188391,0.00032962
PH_rn_0002591,Ighmbp2,-1.0332,0.0000842
PH_rn_0002787,Cant1,-1.093726,0.00000846
PH_rn_0002818,Elmo3,-1.263529,9.94E-08
PH_rn_0002840,Suox,-1.477169,0.000000202
PH_rn_0002844,Pou3f2,-1.302382,0.000172791
PH_rn_0002990,Mybpc1,-1.445114,0.027240655
PH_rn_0003025,Gmpr,-1.194507,2.46E-10
PH_rn_0003057,Mmd,-1.176042,0.0000252
PH_rn_0003096,Mrc2,-1.007567,0.000674388
PH_rn_0003121,Dlx1,-1.026174,2.07E-09
PH_rn_0003247,Fignl1,-1.475311,0.00000729
PH_rn_0003269,Gja4,-1.058988,0.00022328
PH_rn_0003291,Timp3,-1.76632,0.000000002
PH_rn_0003292,Rapgef3,-1.057041,0.00000175
